sason.xyz,#genre#
ver.2020.04.20,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV-1 综合 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV-2 财经 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV-3 综艺 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV-4 国际 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV-5 体育 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV-5+ 体育赛事 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV-6 电影 FHD,http://118.123.60.5:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=093&Provider_id=&Pcontent_id=index.m3u8
CCTV-7 国防军事 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV-8 电视剧 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV-9 纪录 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV-10 科教 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV-11 戏曲 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV-12 社会与法 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV-13 新闻 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV-14 少儿 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV-15 音乐 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV-17 农业农村 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000204203.m3u8
CGTN FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2001656803.m3u8
CCTV 4K FHD版,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000266303.m3u8
湖南卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000296203.m3u8
江苏卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000295603.m3u8
浙江卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000295503.m3u8
东方卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000292403.m3u8
四川卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000295003.m3u8
北京卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000272103.m3u8
广东卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000292703.m3u8
深圳卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000292203.m3u8
山东卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000294803.m3u8
东南卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000292503.m3u8
黑龙江卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000293903.m3u8
湖北卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000294503.m3u8
江西卫视 FHD,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000173.m3u8
